日付け,終値,始値,高値,安値,変化率 %
2021年08月03日,"5,404.000","5,404.000","5,404.000","5,404.000",0.00%
2021年08月02日,"5,404.000","5,404.000","5,404.000","5,404.000",-0.02%
2021年07月30日,"5,405.000","5,405.000","5,405.000","5,405.000",0.13%
2021年07月29日,"5,398.000","5,398.000","5,398.000","5,398.000",-0.02%
2021年07月28日,"5,399.000","5,399.000","5,399.000","5,399.000",-0.11%
2021年07月27日,"5,405.000","5,405.000","5,405.000","5,405.000",-0.02%
2021年07月26日,"5,406.000","5,406.000","5,406.000","5,406.000",0.41%
2021年07月21日,"5,384.000","5,384.000","5,384.000","5,384.000",0.24%
2021年07月20日,"5,371.000","5,371.000","5,371.000","5,371.000",-0.56%
2021年07月19日,"5,401.000","5,401.000","5,401.000","5,401.000",-0.02%
2021年07月16日,"5,402.000","5,402.000","5,402.000","5,402.000",-0.13%
2021年07月15日,"5,409.000","5,409.000","5,409.000","5,409.000",-0.02%
2021年07月14日,"5,410.000","5,410.000","5,410.000","5,410.000",-0.06%
2021年07月13日,"5,413.000","5,413.000","5,413.000","5,413.000",0.00%
2021年07月12日,"5,413.000","5,413.000","5,413.000","5,413.000",-0.09%
2021年07月09日,"5,418.000","5,418.000","5,418.000","5,418.000",-0.18%
2021年07月08日,"5,428.000","5,428.000","5,428.000","5,428.000",0.11%
2021年07月07日,"5,422.000","5,422.000","5,422.000","5,422.000",0.13%
2021年07月06日,"5,415.000","5,415.000","5,415.000","5,415.000",-0.02%
2021年07月05日,"5,416.000","5,416.000","5,416.000","5,416.000",0.06%
2021年07月02日,"5,413.000","5,413.000","5,413.000","5,413.000",0.11%
2021年07月01日,"5,407.000","5,407.000","5,407.000","5,407.000",0.13%
2021年06月30日,"5,400.000","5,400.000","5,400.000","5,400.000",0.06%
2021年06月29日,"5,397.000","5,397.000","5,397.000","5,397.000",0.06%
2021年06月28日,"5,394.000","5,394.000","5,394.000","5,394.000",0.04%
2021年06月25日,"5,392.000","5,392.000","5,392.000","5,392.000",0.11%
2021年06月24日,"5,386.000","5,386.000","5,386.000","5,386.000",0.06%
2021年06月23日,"5,383.000","5,383.000","5,383.000","5,383.000",0.07%
2021年06月22日,"5,379.000","5,379.000","5,379.000","5,379.000",0.11%
2021年06月21日,"5,373.000","5,373.000","5,373.000","5,373.000",-0.07%
2021年06月18日,"5,377.000","5,377.000","5,377.000","5,377.000",-0.06%
2021年06月17日,"5,380.000","5,380.000","5,380.000","5,380.000",-0.09%
2021年06月16日,"5,385.000","5,385.000","5,385.000","5,385.000",0.02%
2021年06月15日,"5,384.000","5,384.000","5,384.000","5,384.000",0.00%
2021年06月14日,"5,384.000","5,384.000","5,384.000","5,384.000",-0.09%
2021年06月11日,"5,389.000","5,389.000","5,389.000","5,389.000",0.00%
2021年06月10日,"5,389.000","5,389.000","5,389.000","5,389.000",0.17%
2021年06月09日,"5,380.000","5,380.000","5,380.000","5,380.000",0.13%
2021年06月08日,"5,373.000","5,373.000","5,373.000","5,373.000",0.00%
2021年06月07日,"5,373.000","5,373.000","5,373.000","5,373.000",0.17%
2021年06月04日,"5,364.000","5,364.000","5,364.000","5,364.000",-0.07%
2021年06月03日,"5,368.000","5,368.000","5,368.000","5,368.000",0.13%
2021年06月02日,"5,361.000","5,361.000","5,361.000","5,361.000",0.06%
2021年06月01日,"5,358.000","5,358.000","5,358.000","5,358.000",-0.02%
2021年05月31日,"5,359.000","5,359.000","5,359.000","5,359.000",0.06%
2021年05月28日,"5,356.000","5,356.000","5,356.000","5,356.000",0.06%
2021年05月27日,"5,353.000","5,353.000","5,353.000","5,353.000",0.06%
2021年05月26日,"5,350.000","5,350.000","5,350.000","5,350.000",0.06%
2021年05月25日,"5,347.000","5,347.000","5,347.000","5,347.000",0.06%
2021年05月24日,"5,344.000","5,344.000","5,344.000","5,344.000",0.11%
2021年05月21日,"5,338.000","5,338.000","5,338.000","5,338.000",0.06%
2021年05月20日,"5,335.000","5,335.000","5,335.000","5,335.000",-0.24%
2021年05月19日,"5,348.000","5,348.000","5,348.000","5,348.000",-0.02%
2021年05月18日,"5,349.000","5,349.000","5,349.000","5,349.000",-0.07%
2021年05月17日,"5,353.000","5,353.000","5,353.000","5,353.000",0.19%
2021年05月14日,"5,343.000","5,343.000","5,343.000","5,343.000",-0.07%
2021年05月13日,"5,347.000","5,347.000","5,347.000","5,347.000",-0.13%
2021年05月12日,"5,354.000","5,354.000","5,354.000","5,354.000",-0.45%
2021年05月11日,"5,378.000","5,378.000","5,378.000","5,378.000",0.00%
2021年05月10日,"5,378.000","5,378.000","5,378.000","5,378.000",0.11%
